source,run,N_rpm,omega_rad_s,torque_Nm,T_K,rho_kgm3,mu_Pas,P_w_W,P_w_reported_W,Re_Omega,Cp,Pi_gap,Pi_confinement,Pi_aspect_axial,R_m,R_chamber_m,gap_radial_m,h_rotor_m,P_w_pct_diff
Gorland1970,gap_0.0565in,11725,1227.8391287780107,0.9593541830389999,314.81666666666666,1.1005902271089338,1.9151983503649798e-05,1177.932604292146,1177.86,1638789.9670940025,0.014066159683718403,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006164085047970457
Gorland1970,gap_0.0565in,12440,1302.7137536885675,1.06318724089,317.59444444444443,1.090964129647908,1.928007313240756e-05,1385.0286414536033,1385.5,1712066.8837468484,0.013970323042427775,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,-0.034020826156383
Gorland1970,gap_0.0565in,13175,1379.6827737015176,1.1725565553619999,320.92777777777775,1.079632773029272,1.9433051374560048e-05,1617.7560806237411,1617.65,1780263.2896939474,0.01388047782169298,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006557699362719754
Gorland1970,gap_0.0565in,13898,1455.3951566530313,1.2885919747449999,324.26111111111106,1.0685343841482682,1.958524358243952e-05,1875.410518945838,1875.3,1844210.0478457753,0.013850652407989612,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005893400833896786
Gorland1970,gap_0.0565in,14617,1530.6886605840668,1.410841559723,328.15,1.0558712377398878,1.976182098499412e-05,2159.5591773487345,2159.4,1899506.5602729814,0.013873904968913851,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007371369303249717
Gorland1970,gap_0.0565in,15337,1606.0868842702218,1.531283387437,332.59444444444443,1.0417616783801085,1.9962350167229176e-05,2459.374164663442,2459.2,1946684.9790680723,0.0138629061404017,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007082167511479252
Gorland1970,gap_0.0565in,16268,1703.5809762866252,1.6716105450549998,337.0388888888889,1.028024237222575,2.016154256589958e-05,2847.723924315814,2847.5,2017494.2823554054,0.013630486138499017,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.00786389168794387
Gorland1970,gap_0.0565in,17242,1805.5780177731738,1.7999613107989998,342.0388888888889,1.012996351934997,2.0384063642447188e-05,3249.9705756208614,3249.8,2084026.8380428832,0.013259523950377416,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005248803645184323
Gorland1970,gap_0.0565in,18432,1930.194526365569,1.9974587918909998,349.81666666666666,0.9904735242203369,2.072697227827057e-05,3855.48402674879,3853.3,2142288.805152511,0.013168550044193848,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.05667938517088261
Gorland1970,gap_0.0565in,19657,2058.476226387152,2.182076002477,357.59444444444443,0.9689304519331637,2.1066040279270524e-05,4491.751575268817,4491.5,2199001.2929058345,0.012929767548934082,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005601141463138159
Gorland1970,gap_0.0565in,20852,2183.6163337551457,2.384883770532,366.4833333333333,0.9454294783692143,2.1448980884895245e-05,5207.671155441233,5207.5,2235469.482518502,0.012870356327878878,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.0032867103453320776
Gorland1970,gap_0.0565in,22070,2311.164995490891,2.566902330051,376.4833333333333,0.9203173579999403,2.1874150081924394e-05,5932.534812057877,5932.0,2258433.519096821,0.01270325421785854,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.009015712371500147
Gorland1970,gap_0.116in,270,28.274333882308138,0.0017286678836999998,296.4833333333333,1.1559133346282615,1.829228628297114e-05,0.04887693291535681,0.04888,41497.27704498819,0.04550998433961454,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.006274723083450738
Gorland1970,gap_0.116in,515,53.93067388662478,0.00432166970925,296.4833333333333,1.1559133346282615,1.829228628297114e-05,0.2330705597352663,0.233,79152.21362284783,0.031272295771117925,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.030283148182957128
Gorland1970,gap_0.116in,760,79.58701389094144,0.007779005476649999,296.4833333333333,1.1559133346282615,1.829228628297114e-05,0.619107816927853,0.6191,116807.15020070752,0.025847559492054268,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0012626276616072476
Gorland1970,gap_0.116in,1000,104.71975511965977,0.0121006751859,296.4833333333333,1.1559133346282615,1.829228628297114e-05,1.2671797422499915,1.267,153693.6186851414,0.023223745008505308,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.01418644435608692
Gorland1970,gap_0.116in,1245,130.3760951239764,0.017286678837,296.4833333333333,1.1559133346282615,1.829228628297114e-05,2.253769684430342,2.2538,191348.55526300106,0.021404028053469464,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0013450869490707676
Gorland1970,gap_0.116in,1480,154.98523757709646,0.0217495795825,296.4833333333333,1.1559133346282615,1.829228628297114e-05,3.370863758795729,3.349,227466.5556540093,0.01905680484938125,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.6528443952143523
Gorland1970,gap_0.116in,1729,181.06045660189176,0.02852302008105,296.4833333333333,1.1559133346282615,1.829228628297114e-05,5.164391039539841,5.164,265736.2667066095,0.018311679227957785,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0075724155662511465
Gorland1970,gap_0.116in,1975,206.82151636132807,0.035437691615849996,296.4833333333333,1.1559133346282615,1.829228628297114e-05,7.329277116335218,7.329,303544.8969031543,0.01743628164623283,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.00378109339907805
Gorland1970,gap_0.116in,2220,232.4778563656447,0.0432166970925,296.4833333333333,1.1559133346282615,1.829228628297114e-05,10.04692509926779,10.05,341199.833481014,0.016829386100752273,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.030596027186173082
Gorland1970,gap_0.116in,2450,256.56340004316644,0.050995702569149995,296.4833333333333,1.1559133346282615,1.829228628297114e-05,13.08363083873116,13.08,376549.3657785965,0.016305122335953028,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.02775870589572113
